id,age,gender,condition,reaction_time,equation
19,24,Female,low_bpm,4.331254599994281,2 + 5
19,24,Female,low_bpm,2.0270856999850366,2 * 3
19,24,Female,low_bpm,1.7368015999963973,7 - 3
19,24,Female,low_bpm,2.6324051000119653,12 / 4
19,24,Female,low_bpm,1.4663341999985278,12 / 2
19,24,Female,low_bpm,1.2212187999975868,3 + 1
19,24,Female,low_bpm,2.106501300004311,10 - 4
19,24,Female,low_bpm,1.998847000009846,7 + 2
19,24,Female,low_bpm,2.7979810999822803,15 / 3
19,24,Female,low_bpm,1.7943139999988489,15 - 8
19,24,Female,low_bpm,1.2117581999918912,3 * 3
19,24,Female,low_bpm,1.2586511000117753,4 * 2
19,24,Female,high_bpm,1.673718000005465,4 + 3
19,24,Female,high_bpm,1.9978437000245322,5 - 2
19,24,Female,high_bpm,0.9812990000064019,4 * 1
19,24,Female,high_bpm,2.5317224000173155,18 / 3
19,24,Female,high_bpm,1.5738986000069417,1 + 8
19,24,Female,high_bpm,1.5019614000048023,20 / 5
19,24,Female,high_bpm,2.0329056999762543,8 - 5
19,24,Female,high_bpm,1.8243081000109669,6 / 2
19,24,Female,high_bpm,1.2474575999949593,3 * 0
19,24,Female,high_bpm,2.344921100011561,5 + 4
19,24,Female,high_bpm,0.9936520000046585,6 - 6
19,24,Female,high_bpm,1.352430099999765,2 * 2
19,24,Female,silence,1.1817595000029542,7 * 1
19,24,Female,silence,1.7607421000138856,3 + 6
19,24,Female,silence,1.3716589999967255,2 * 4
19,24,Female,silence,1.3986366000026464,10 / 5
19,24,Female,silence,3.8568110000051092,8 / 4
19,24,Female,silence,2.066770900011761,7 - 4
19,24,Female,silence,1.4428498000197578,3 + 5
19,24,Female,silence,2.0001956000050995,6 + 2
19,24,Female,silence,1.23841399999219,6 - 3
19,24,Female,silence,2.833544000022812,12 - 5
19,24,Female,silence,1.1163365000102203,1 * 3
19,24,Female,silence,1.2394095000054222,7 / 1
