id,age,gender,condition,reaction_time,equation
2,20,Female,silence,3.4997422999877017,15 / 3
2,20,Female,silence,1.9627429000101984,3 + 1
2,20,Female,silence,2.1070580999949016,10 - 4
2,20,Female,silence,1.4431650000042282,6 - 3
2,20,Female,silence,2.097918599989498,12 / 2
2,20,Female,silence,1.0579220999788959,2 * 2
2,20,Female,silence,2.6436468999891076,15 - 8
2,20,Female,silence,2.125997199997073,2 * 3
2,20,Female,silence,1.2010514000139665,2 + 5
2,20,Female,silence,1.823806300002616,10 / 5
2,20,Female,silence,1.541402000002563,3 + 6
2,20,Female,silence,1.5585509999946225,3 * 3
2,20,Female,high_bpm,1.8474831999919843,7 * 1
2,20,Female,high_bpm,1.393787799985148,4 * 2
2,20,Female,high_bpm,4.281414600001881,7 - 3
2,20,Female,high_bpm,3.6518780999758746,18 / 3
2,20,Female,high_bpm,5.308457699982682,7 + 2
2,20,Female,high_bpm,1.6587783000140917,6 / 2
2,20,Female,high_bpm,2.019822300004307,5 + 4
2,20,Female,high_bpm,2.5859044999815524,12 / 4
2,20,Female,high_bpm,3.071267599996645,3 * 0
2,20,Female,high_bpm,1.9376243999868166,7 - 4
2,20,Female,high_bpm,5.382087100006174,4 + 3
2,20,Female,high_bpm,1.8011125000193715,5 - 2
2,20,Female,low_bpm,3.2754847000178415,2 * 4
2,20,Female,low_bpm,1.320420500007458,6 - 6
2,20,Female,low_bpm,2.2536716999893542,3 + 5
2,20,Female,low_bpm,2.2456223999906797,8 / 4
2,20,Female,low_bpm,1.5195182000170462,1 + 8
2,20,Female,low_bpm,2.2545661000185646,12 - 5
2,20,Female,low_bpm,4.058204499975545,8 - 5
2,20,Female,low_bpm,3.1485977999982424,7 / 1
2,20,Female,low_bpm,1.1660871999920346,4 * 1
2,20,Female,low_bpm,1.122523199999705,1 * 3
2,20,Female,low_bpm,1.2678687000006903,6 + 2
2,20,Female,low_bpm,2.082460400008131,20 / 5
