id,age,gender,condition,reaction_time,equation
3,22,Female,silence,1.9595845000003465,3 + 5
3,22,Female,silence,1.7674892999930307,5 - 2
3,22,Female,silence,1.2555708000145387,3 + 1
3,22,Female,silence,1.3977221999957692,5 + 4
3,22,Female,silence,1.6241540999908466,12 / 4
3,22,Female,silence,1.9510046000068542,4 * 1
3,22,Female,silence,2.737108300003456,6 - 3
3,22,Female,silence,2.7200244999839924,1 * 3
3,22,Female,silence,1.1638965000165626,10 / 5
3,22,Female,silence,1.2886691000021528,7 - 3
3,22,Female,silence,1.512939300009748,12 / 2
3,22,Female,silence,1.047634900023695,2 * 3
3,22,Female,low_bpm,1.7072684000013396,7 * 1
3,22,Female,low_bpm,1.633138000004692,3 * 0
3,22,Female,low_bpm,3.463050199992722,12 - 5
3,22,Female,low_bpm,2.560973300016485,4 * 2
3,22,Female,low_bpm,1.42739579998306,6 + 2
3,22,Female,low_bpm,4.712965199985774,15 - 8
3,22,Female,low_bpm,1.2784499999834225,1 + 8
3,22,Female,low_bpm,1.4979707000020426,20 / 5
3,22,Female,low_bpm,1.130724899994675,10 - 4
3,22,Female,low_bpm,1.1425806999905035,8 / 4
3,22,Female,low_bpm,0.9377610999799799,2 + 5
3,22,Female,low_bpm,1.547483000002103,18 / 3
3,22,Female,high_bpm,1.5872629999939818,7 - 4
3,22,Female,high_bpm,1.7753699999884702,4 + 3
3,22,Female,high_bpm,1.779144100000849,6 - 6
3,22,Female,high_bpm,0.9543000999838114,2 * 2
3,22,Female,high_bpm,1.644890800002031,8 - 5
3,22,Female,high_bpm,2.03062500001397,7 / 1
3,22,Female,high_bpm,1.8224816999863833,3 * 3
3,22,Female,high_bpm,1.7051104000129271,7 + 2
3,22,Female,high_bpm,3.165876799990656,15 / 3
3,22,Female,high_bpm,2.240902699995786,2 * 4
3,22,Female,high_bpm,1.3021933999843895,6 / 2
3,22,Female,high_bpm,1.312127600016538,3 + 6
