id,age,gender,condition,reaction_time,equation
8,20,Female,silence,1.622135799998432,4 * 2
8,20,Female,silence,0.8777177000010852,2 + 5
8,20,Female,silence,1.0199103000013565,1 + 8
8,20,Female,silence,1.6786938000004739,5 + 4
8,20,Female,silence,0.9450223000003461,3 * 0
8,20,Female,silence,1.0841631000002963,12 / 2
8,20,Female,silence,1.2264386999995622,10 - 4
8,20,Female,silence,1.6895049000013387,5 - 2
8,20,Female,silence,7.224089199999071,15 - 8
8,20,Female,silence,1.36681309999949,4 * 1
8,20,Female,silence,1.6304497999990417,18 / 3
8,20,Female,silence,1.2430628999991313,6 / 2
8,20,Female,low_bpm,2.6747532000008505,3 * 3
8,20,Female,low_bpm,1.1841336999987107,20 / 5
8,20,Female,low_bpm,0.9395733000001201,7 * 1
8,20,Female,low_bpm,1.3882288000004337,6 - 3
8,20,Female,low_bpm,1.0779821000014636,3 + 1
8,20,Female,low_bpm,1.0886807999995654,3 + 5
8,20,Female,low_bpm,1.4335417000002053,7 - 3
8,20,Female,low_bpm,0.9187426999997115,2 * 2
8,20,Female,low_bpm,0.8149061999993137,7 / 1
8,20,Female,low_bpm,1.156214499998896,7 + 2
8,20,Female,low_bpm,2.6057992999994894,7 - 4
8,20,Female,low_bpm,1.2492523000000801,8 / 4
8,20,Female,high_bpm,1.409751299999698,8 - 5
8,20,Female,high_bpm,1.0091131999997742,4 + 3
8,20,Female,high_bpm,1.4290738999989117,12 - 5
8,20,Female,high_bpm,0.8693707000002178,1 * 3
8,20,Female,high_bpm,1.0923338999982661,10 / 5
8,20,Female,high_bpm,1.1890249000007316,3 + 6
8,20,Female,high_bpm,1.4085565000004863,2 * 4
8,20,Female,high_bpm,1.0830652999993617,2 * 3
8,20,Female,high_bpm,0.9256470000000263,15 / 3
8,20,Female,high_bpm,0.9535823999995046,6 + 2
8,20,Female,high_bpm,1.2560166000002937,6 - 6
8,20,Female,high_bpm,1.3472536999997828,12 / 4
