id,age,gender,condition,reaction_time,equation
27,20,Female,low_bpm,1.8342584999918472,3 * 0
27,20,Female,low_bpm,1.1560020000033546,10 - 4
27,20,Female,low_bpm,1.2046674999874085,20 / 5
27,20,Female,low_bpm,1.054557700001169,4 * 1
27,20,Female,low_bpm,1.0561505999939982,8 / 4
27,20,Female,low_bpm,2.1246568000060506,15 - 8
27,20,Female,low_bpm,1.0876332999905571,7 * 1
27,20,Female,low_bpm,1.1714681000157725,3 + 6
27,20,Female,low_bpm,1.1086355999868829,7 - 3
27,20,Female,low_bpm,1.4828476999828126,12 / 4
27,20,Female,low_bpm,0.9862009999924339,4 + 3
27,20,Female,low_bpm,1.044351499993354,3 + 5
27,20,Female,high_bpm,1.36730979999993,2 * 4
27,20,Female,high_bpm,2.236171299999114,7 / 1
27,20,Female,high_bpm,0.9807725000136998,2 + 5
27,20,Female,high_bpm,1.0630585000035353,2 * 3
27,20,Female,high_bpm,0.8780244999798015,5 - 2
27,20,Female,high_bpm,1.5358148000086658,6 - 6
27,20,Female,high_bpm,1.2922015000076499,6 / 2
27,20,Female,high_bpm,0.9409381999867037,6 + 2
27,20,Female,high_bpm,1.7607148999813944,18 / 3
27,20,Female,high_bpm,1.617595200019423,12 - 5
27,20,Female,high_bpm,0.9128790000104345,3 + 1
27,20,Female,high_bpm,1.0031954000005499,1 * 3
27,20,Female,silence,1.1080858999921475,1 + 8
27,20,Female,silence,1.1144463999953587,7 + 2
27,20,Female,silence,1.1960809000011068,5 + 4
27,20,Female,silence,1.0760356000100728,4 * 2
27,20,Female,silence,1.3145565999730024,12 / 2
27,20,Female,silence,0.9060623999976087,7 - 4
27,20,Female,silence,1.443138300004648,15 / 3
27,20,Female,silence,1.723151299986057,10 / 5
27,20,Female,silence,1.1135114000062458,8 - 5
27,20,Female,silence,1.0809945999935735,3 * 3
27,20,Female,silence,0.7919836000073701,2 * 2
27,20,Female,silence,1.6225755999912508,6 - 3
