id,age,gender,condition,reaction_time,equation
20,24,Female,silence,1.645606600010069,6 - 6
20,24,Female,silence,1.7621567999885883,10 - 4
20,24,Female,silence,1.3990920999785885,6 / 2
20,24,Female,silence,2.0174794999766164,4 * 1
20,24,Female,silence,3.986695800005691,3 + 6
20,24,Female,silence,1.3745319999870844,7 - 3
20,24,Female,silence,1.2706682999851182,3 * 0
20,24,Female,silence,1.4762342999747489,1 + 8
20,24,Female,silence,1.423548299993854,20 / 5
20,24,Female,silence,1.4511172999918927,7 * 1
20,24,Female,silence,3.154389600007562,18 / 3
20,24,Female,silence,1.222356000012951,3 + 1
20,24,Female,low_bpm,1.9732616000110283,10 / 5
20,24,Female,low_bpm,1.8485647999914363,4 * 2
20,24,Female,low_bpm,1.3614875999919605,12 / 4
20,24,Female,low_bpm,1.5699357000121381,8 - 5
20,24,Female,low_bpm,0.921343900001375,1 * 3
20,24,Female,low_bpm,2.084252500004368,6 + 2
20,24,Female,low_bpm,2.284089299995685,7 / 1
20,24,Female,low_bpm,2.4321122000110336,7 + 2
20,24,Female,low_bpm,1.812031300010858,12 - 5
20,24,Female,low_bpm,1.0715357000008225,2 + 5
20,24,Female,low_bpm,1.5810739999869838,5 - 2
20,24,Female,low_bpm,1.2036803000082728,3 * 3
20,24,Female,high_bpm,1.4917444000020623,2 * 2
20,24,Female,high_bpm,10.664753099990776,15 - 8
20,24,Female,high_bpm,1.7854324000072666,7 - 4
20,24,Female,high_bpm,1.3204244000080507,5 + 4
20,24,Female,high_bpm,1.9701472999877296,8 / 4
20,24,Female,high_bpm,1.826042000000598,2 * 4
20,24,Female,high_bpm,1.2792210999759845,4 + 3
20,24,Female,high_bpm,1.711136500001885,2 * 3
20,24,Female,high_bpm,1.3435666000004858,3 + 5
20,24,Female,high_bpm,1.6075970999954734,6 - 3
20,24,Female,high_bpm,1.7909889000002295,12 / 2
20,24,Female,high_bpm,1.4177665000024717,15 / 3
